Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[km/h],[deg],[deg],[deg],[deg],[km/h],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
4/23/26 5:18:07 PM,Jamie F,,,9 Iron,75.45593963524828,7.95,-10.15,-8.9,1.25,67.7879454949854,0.8983778589554415,32.349998474121094,-8.579999923706055,3979.355224609375,-100.72814178466797,3980.6298828125,Estimated,1.4500000476837158,5.75,34.36132991720685,-8.390000343322754,-5.008748822950628,43.9195098943702,-1.6100000143051147,-1.2357830219068553,,,,,1.1618384,77.0,99.77,28,,,,,840.0,269.0,,3.0999999046325684
4/23/26 5:18:35 PM,Jamie F,,,9 Iron,75.1679398656481,,-2.41,0.63,3.04,92.8799229494796,1.2356321473688001,18.110000610351562,0.2199999988079071,3330.48876953125,-168.13250732421875,3334.72998046875,Estimated,2.890000104904175,4.389999866485596,50.77646577556406,0.6399999856948853,0.5686788942765898,79.36351672662316,2.0,2.766841613505873,,,,,1.1618384,77.0,99.77,28,,,,,758.0,327.0,,2.299999952316284
4/23/26 5:18:52 PM,Jamie F,,,9 Iron,70.4879436096451,9.0,-7.77,-0.87,6.8999999999999995,84.31193282511194,1.196118492149844,26.3700008392334,-1.690000057220459,3141.934814453125,-364.0899658203125,3162.9599609375,Estimated,6.610000133514404,6.570000171661377,49.77033937175547,-0.6800000071525574,-0.5905512045687578,64.70909686017642,-0.7799999713897705,-0.8748906517070527,,,,,1.1618384,77.0,99.77,28,,,,,794.0,319.0,,2.5
4/23/26 5:19:04 PM,Jamie F,,,9 Iron,82.54793396165282,3.15,-7.31,-1.19,6.119999999999999,95.54392686075694,1.157435713716849,30.030000686645508,-1.8899999856948853,4689.80908203125,-380.6285705566406,4705.22998046875,Estimated,4.639999866485596,10.880000114440918,64.06386901908868,-0.8299999833106995,-0.9295713296608245,71.70822363825921,0.25999999046325684,0.32808400253819875,,,,,1.1618384,77.0,99.77,28,,,,,1004.9999999999999,268.0,,3.799999952316284
4/23/26 5:19:16 PM,Jamie F,,,9 Iron,83.62793309765351,6.62,-6.03,5.13,11.16,106.34391822076385,1.271631550388607,13.319999694824219,3.4600000381469727,2000.3824462890625,-674.758056640625,2111.1201171875,Estimated,18.639999389648438,3.240000009536743,52.54811815076613,5.5,5.041557451349961,101.59667708429451,5.5,9.733157938025233,,,,,1.1618384,77.0,99.77,28,,,,,820.0,293.0,,2.799999952316284
4/23/26 5:19:31 PM,Jamie F,,,9 Iron,76.75193859844912,,-3.84,-2.93,0.9099999999999997,95.0399225947709,1.2382739033081742,23.1299991607666,-2.880000114440918,4081.03857421875,-62.6851806640625,4081.52001953125,Estimated,0.8799999952316284,7.130000114440918,60.13779711118416,-2.7200000286102295,-2.8543305939368167,71.2379695862297,-1.1699999570846558,-1.4545057337219425,,,,,1.1618384,77.0,99.77,28,,,,,847.0,306.0,,2.799999952316284
4/23/26 5:19:43 PM,Jamie F,,,9 Iron,77.90393767684985,,-4.82,-0.95,3.87,101.59191625454316,1.3040665117076937,30.739999771118164,-1.3899999856948853,5062.83251953125,-227.24557495117188,5067.93017578125,Estimated,2.569999933242798,12.9399995803833,70.6146103399215,-0.7200000286102295,-0.8858267742609206,77.77778078147641,1.7200000286102295,2.3403325731672955,,,,,1.1618384,77.0,99.77,28,,,,,857.0,316.0,,2.700000047683716
4/23/26 5:20:10 PM,Jamie F,,,9 Iron,81.79193456645234,,-2.31,-12.21,-9.9,102.6719195104136,1.255281710288894,11.729999542236328,-10.319999694824219,2607.100341796875,556.5346069335938,2665.840087890625,Estimated,-12.050000190734863,2.509999990463257,44.520996374095205,-11.600000381469727,-8.956692454487424,63.27646610930836,-11.279999732971191,-12.37970220343856,,,,,1.1618384,77.0,99.77,28,,,,,873.0,282.0,,3.0999999046325684
4/23/26 5:20:21 PM,Jamie F,,,9 Iron,76.28393897284882,,-5.72,3.24,8.96,98.9279192097154,1.2968381095911432,13.779999732971191,1.9500000476837158,2799.91015625,-496.7234802246094,2843.6298828125,Estimated,10.0600004196167,3.0899999141693115,48.764217139750535,3.200000047683716,2.7230971232904015,77.55905311564447,2.880000114440918,3.893263279505185,,,,,1.1618384,77.0,99.77,28,,,,,827.0,293.0,,2.799999952316284
4/23/26 5:20:34 PM,Jamie F,,,9 Iron,85.49993160005471,9.68,-3.3,0.67,3.9699999999999998,107.20791670559045,1.2538947657534951,22.34000015258789,0.14000000059604645,2628.565185546875,-249.3983154296875,2640.3701171875,Estimated,5.420000076293945,8.520000457763672,74.19072215429858,1.149999976158142,1.4873141013835462,87.70778318924124,2.3399999141693115,3.5761154647052864,,,,,1.1618384,77.0,99.77,28,,,,,890.0,269.0,,3.299999952316284
4/23/26 5:20:44 PM,Jamie F,,,9 Iron,68.65194507844393,,-20.0,4.47,24.47,84.95993340534429,1.237545903590442,33.0,1.1699999570846558,5001.39013671875,-1234.940185546875,5151.60009765625,Estimated,13.869999885559082,9.640000343322754,51.73884664620628,3.9200000762939453,3.5323709744898144,61.84383118663664,-1.4299999475479126,-1.541994714152886,,,,,1.1618384,77.0,99.77,28,,,,,987.0,170.0,,5.800000190734863
4/23/26 5:20:56 PM,Jamie F,,,9 Iron,84.8519321184543,,-6.35,-1.49,4.859999999999999,102.49191553454374,1.2078913582246285,27.200000762939453,-2.0199999809265137,4930.61279296875,-311.935791015625,4940.47021484375,Estimated,3.619999885559082,11.050000190734863,70.8770751953125,-1.1200000047683716,-1.3888888680298705,79.35257825742974,1.3899999856948853,1.9138232720909887,,,,,1.1618384,77.0,99.77,28,,,,,843.0,284.0,,3.0
4/23/26 5:21:09 PM,Jamie F,,,9 Iron,83.7359330112536,9.11,-4.1,-2.2,1.8999999999999995,101.80792102558699,1.2158211817130484,31.8700008392334,-2.319999933242798,3622.612060546875,-126.50439453125,3624.820068359375,Estimated,2.0,13.430000305175781,72.10192509314936,-1.8600000143051147,-2.3403325731672955,79.73534958673379,1.440000057220459,2.0013123828907964,,,,,1.1618384,77.0,99.77,28,,,,,889.0,274.0,,3.200000047683716
4/23/26 5:21:35 PM,Jamie F,,,9 Iron,74.51994038404769,,,,,30.815976857838628,0.41352659031964734,24.559999465942383,-12.039999961853027,2475.0400390625,0.0,2475.0400390625,Measured,-0.0,0.6800000071525574,6.28827646544182,-12.039999961853027,-1.312336010152795,9.492563763315596,-12.15999984741211,-2.0013123828907964,,,,,1.1618384,77.0,99.77,28,,,,,832.0,373.0,,2.200000047683716
4/23/26 5:21:50 PM,Jamie F,,,9 Iron,89.74792820165743,,15.55,-21.45,-37.0,104.03991539477666,1.1592458731861321,12.039999961853027,-15.680000305175781,2656.36865234375,1533.6549072265625,3067.31005859375,Estimated,-30.0,2.630000114440918,44.75065416551325,-18.979999542236328,-14.555993459773294,62.90463742100139,-20.030000686645508,-21.544182811613574,,,,,1.1618384,77.0,99.77,28,,,,,899.0,277.0,,3.200000047683716
4/23/26 5:22:13 PM,Jamie F,,,9 Iron,87.6599298720561,6.15,-1.93,7.11,9.040000000000001,104.90391387960327,1.1967145539896689,20.950000762939453,5.599999904632568,2872.92041015625,-560.5208740234375,2927.090087890625,Estimated,11.039999961853027,7.340000152587891,68.96325609502517,7.599999904632568,9.12073507500863,88.56080857057479,7.400000095367432,11.417322375747267,,,,,1.1618384,77.0,99.77,28,,,,,824.0,275.0,,3.0
4/23/26 5:22:24 PM,Jamie F,,,9 Iron,84.383932492854,7.8,-8.38,-9.01,-0.629999999999999,109.33191555570778,1.295648499967295,12.710000038146973,-8.449999809265137,1856.924560546875,4.537331581115723,1856.9300537109375,Estimated,-0.14000000059604645,3.190000057220459,54.461941422857116,-8.460000038146973,-8.016185393379326,80.28215623590265,-7.860000133514404,-10.97987747359255,,,,,1.1618384,77.0,99.77,28,,,,,865.0,264.0,,3.299999952316284
4/23/26 5:22:52 PM,Jamie F,,,9 Iron,74.80794015364788,7.19,-0.13,5.72,5.85,91.33192995569627,1.2208855071815878,25.059999465942383,4.679999828338623,3234.81982421875,-305.78045654296875,3249.239990234375,Estimated,5.400000095367432,7.25,55.94925617608499,5.579999923706055,5.435257863289206,74.30009015901821,2.5799999237060547,3.346456630336331,,,,,1.1618384,77.0,99.77,28,,,,,816.0,325.0,,2.5
